id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_installed_base_both,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_both_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
C_1,9,2000,2,0,all,0.02839929247777928,0.027379348621643818,1.0516914129257202,0.5784488320350647,0.5072066187858582,1.302089810371399,1.8092963695526123,0.871833324432373,0.19375000894069672,0.06558333337306976,0.906000018119812,0.09399999678134918,0.0,0.906000018119812,0.09399999678134918,0.0,0.9163857698440552,1.0,0.99609375,0.9921875,0.8984375,0.6796875,1.0,1.0,1.0,1.0
C_2,0,2000,0,0,all,0.2220947453799037,-0.3380034784172248,0.4779682755470276,0.4678683578968048,-0.0541633665561676,3.970830202102661,3.9166667461395264,0.5099999904632568,0.49000000953674316,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
C_2,0,2000,1,0,all,0.2220947453799037,-0.3380034784172248,0.3316240608692169,0.32571256160736084,-0.1712331473827362,1.6925525665283203,1.5213193893432617,0.7549999952316284,0.7450000047683716,0.5,0.5166666507720947,0.4833333194255829,0.0,0.5166666507720947,0.4833333194255829,0.0,,,,,,,,,,
C_2,0,2000,2,0,all,0.2220947453799037,-0.3380034784172248,0.9733478426933289,0.9569390416145325,0.46541690826416016,1.0559024810791016,1.5213193893432617,0.6358333230018616,0.6141666769981384,0.25,0.5166666507720947,0.4833333194255829,0.0,0.5166666507720947,0.4833333194255829,0.0,1.0,1.0,0.69921875,0.49609375,0.20703125,0.078125,1.0,1.0,0.0,0.0
C_2,1,2000,0,0,all,0.26415714588589767,-0.3625399282147843,0.4787655472755432,0.46591702103614807,-0.055317431688308716,3.9719841480255127,3.9166667461395264,0.5099999904632568,0.49000000953674316,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
C_2,1,2000,1,0,all,0.26415714588589767,-0.3625399282147843,0.332023948431015,0.32457438111305237,-0.17168346047401428,1.6925263404846191,1.5208429098129272,0.7549999952316284,0.7450000047683716,0.5,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,0.0,,,,,,,,,,
C_2,1,2000,2,0,all,0.26415714588589767,-0.3625399282147843,0.9622324705123901,0.9605579376220703,0.461399108171463,1.0594438314437866,1.5208429098129272,0.6286666393280029,0.6213333606719971,0.25,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,0.0,1.0,1.0,0.6875,0.49609375,0.23828125,0.0859375,1.0,1.0,0.0,0.0
C_2,2,2000,0,0,all,0.2744040126281886,-0.21517826073838675,0.47693389654159546,0.4667769968509674,-0.056289106607437134,3.9729559421539307,3.9166667461395264,0.5099999904632568,0.49000000953674316,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
C_2,2,2000,1,0,all,0.2744040126281886,-0.21517826073838675,0.3300822973251343,0.32151830196380615,-0.17409692704677582,1.6951823234558105,1.5210853815078735,0.7549999952316284,0.7450000047683716,0.5,0.5119999647140503,0.4880000054836273,0.0,0.5119999647140503,0.4880000054836273,0.0,,,,,,,,,,
C_2,2,2000,2,0,all,0.2744040126281886,-0.21517826073838675,0.9551243782043457,0.9389848709106445,0.44724828004837036,1.0738370418548584,1.521085262298584,0.6334999799728394,0.6165000200271606,0.25,0.5119999647140503,0.4880000054836273,0.0,0.5119999647140503,0.4880000054836273,0.0,1.0,1.0,0.7265625,0.49609375,0.2421875,0.1015625,1.0,1.0,0.0,0.0
C_2,3,2000,0,0,all,0.25909590873303356,-0.34919765067935193,0.47783687710762024,0.46622610092163086,-0.0559370219707489,3.9726037979125977,3.9166667461395264,0.5099999904632568,0.49000000953674316,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
C_2,3,2000,1,0,all,0.25909590873303356,-0.34919765067935193,0.33213669061660767,0.3243952691555023,-0.17170047760009766,1.6925666332244873,1.5208661556243896,0.7549999952316284,0.7450000047683716,0.5,0.5043333172798157,0.49566665291786194,0.0,0.5043333172798157,0.49566665291786194,0.0,,,,,,,,,,
C_2,3,2000,2,0,all,0.25909590873303356,-0.34919765067935193,0.9633257985115051,0.9562473893165588,0.4598172605037689,1.061048984527588,1.5208662748336792,0.6296666860580444,0.6203333139419556,0.25,0.5043333172798157,0.49566665291786194,0.0,0.5043333172798157,0.49566665291786194,0.0,1.0,0.9999999403953552,0.72265625,0.48046875,0.2421875,0.09765625,1.0,1.0,0.0,0.0
