id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
0_2,8,2000,0,0,all,0.0016899551973029725,-0.002672681342192895,0.7156308889389038,0.715451717376709,0.21554219722747803,0.8502894639968872,1.0658316612243652,0.5,0.5,0.5049999952316284,0.4950000047683716,0.0,0.5049999952316284,0.4950000047683716,,,,,,,,,,
0_2,8,2000,1,0,all,0.0016899551973029725,-0.002672681342192895,0.7491463422775269,0.7455141544342041,0.24732542037963867,0.8185079097747803,1.065833330154419,0.5024999976158142,0.4975000023841858,0.4986666738986969,0.5013333559036255,0.0,0.4986666738986969,0.5013333559036255,0.9874587655067444,0.9999999403953552,0.703125,0.453125,0.09765625,0.02734375,0.0,0.0,0.0,0.0
0_2,9,2000,0,0,all,0.00030369840607158416,0.0052858567058585715,0.7273894548416138,0.7281666398048401,0.2277759611606598,0.8380568027496338,1.0658327341079712,0.5,0.5,0.5026666522026062,0.4973333179950714,0.0,0.5026666522026062,0.4973333179950714,,,,,,,,,,
0_2,9,2000,1,0,all,0.00030369840607158416,0.0052858567058585715,0.7599244713783264,0.7589996457099915,0.25946298241615295,0.8063703775405884,1.065833330154419,0.5013333559036255,0.4986666440963745,0.5009999871253967,0.4989999830722809,0.0,0.5009999871253967,0.4989999830722809,0.9966843128204346,1.0,0.65625,0.39453125,0.07421875,0.0234375,0.0,0.0,0.0,0.0
0_3,0,2000,0,0,all,0.07020819776376352,0.05558198942113668,0.6468280553817749,0.645832359790802,0.14633485674858093,0.8744930624961853,1.0208278894424438,0.5,0.5,0.5046666860580444,0.49533331394195557,0.0,0.5046666860580444,0.49533331394195557,,,,,,,,,,
0_3,0,2000,1,0,all,0.07020819776376352,0.05558198942113668,0.9141510725021362,0.9132986068725586,0.41372883319854736,0.6070991158485413,1.0208280086517334,0.5023333430290222,0.4976666569709778,0.5046666860580444,0.49533331394195557,0.0,0.5046666860580444,0.49533331394195557,1.0,1.0,0.51171875,0.2109375,0.0234375,0.00390625,0.0,0.0,0.0,0.0
0_3,1,2000,0,0,all,0.0766335935175001,0.05910231125830767,0.6461439728736877,0.6453051567077637,0.14572346210479736,0.8751094937324524,1.0208330154418945,0.5,0.5,0.4986666738986969,0.5013333559036255,0.0,0.4986666738986969,0.5013333559036255,,,,,,,,,,
0_3,1,2000,1,0,all,0.0766335935175001,0.05910231125830767,0.908416748046875,0.9147977828979492,0.411615788936615,0.6092171669006348,1.0208330154418945,0.49933332204818726,0.5006666779518127,0.4986666738986969,0.5013333559036255,0.0,0.4986666738986969,0.5013333559036255,1.0,0.9999999403953552,0.50390625,0.2109375,0.03125,0.00390625,0.0,0.0,0.0,0.0
0_3,2,2000,0,0,all,0.08682067823171646,0.05596864402534962,0.6433562636375427,0.641086757183075,0.1422305852174759,0.8785988092422485,1.020829439163208,0.5,0.5,0.5040000081062317,0.4959999918937683,0.0,0.5040000081062317,0.4959999918937683,,,,,,,,,,
0_3,2,2000,1,0,all,0.08682067823171646,0.05596864402534962,0.8975141644477844,0.9025958776473999,0.40003469586372375,0.6207946538925171,1.0208293199539185,0.5019999742507935,0.49799999594688416,0.5040000081062317,0.4959999918937683,0.0,0.5040000081062317,0.4959999918937683,0.9999999403953552,1.0,0.55859375,0.2109375,0.03125,0.00390625,0.0,0.0,0.0,0.0
0_3,3,2000,0,0,all,0.07111952863626159,0.058872697398158036,0.6453471779823303,0.6445925235748291,0.14496934413909912,0.8758639097213745,1.0208332538604736,0.5,0.5,0.49933332204818726,0.5006666779518127,0.0,0.49933332204818726,0.5006666779518127,,,,,,,,,,
0_3,3,2000,1,0,all,0.07111952863626159,0.058872697398158036,0.9112114906311035,0.9131878614425659,0.4122009873390198,0.6086322665214539,1.0208332538604736,0.49966666102409363,0.500333309173584,0.49933332204818726,0.5006666779518127,0.0,0.49933332204818726,0.5006666779518127,1.0,0.9999999403953552,0.53515625,0.20703125,0.02734375,0.00390625,0.0,0.0,0.0,0.0
0_3,4,2000,0,0,all,0.08548723900924127,0.060585603728455006,0.6402403712272644,0.637851357460022,0.13904348015785217,0.8817896246910095,1.020833134651184,0.5,0.5,0.4989999830722809,0.5009999871253967,0.0,0.4989999830722809,0.5009999871253967,,,,,,,,,,
